Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Noorvik, AK",,retail,445120,Old IRA store,,,,66.9722099,-160.4325528,,,w_254040170,shop=convenience
"Noorvik, AK",,retail,445120,Kiana Trading Post,,,,66.9746666,-160.4244345,,,w_254040171,shop=convenience
"Noorvik, AK",,retail,445120,,,,,66.9742062,-160.4321204,,,w_254040175,shop=convenience
"Noorvik, AK",,retail,445120,,,,,66.9738033,-160.4236894,,,w_254040176,shop=convenience
"Noorvik, AK",,retail,445120,Morris Trading Post,,,,66.8324746,-161.0483275,,,w_254083065,shop=convenience
"Noorvik, AK",,retail,445110,Native Store,,,,66.8365458,-161.0402856,,,w_619330348,shop=supermarket
