Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Kaibito, AZ",,retail,445120,,,,,36.5813653,-110.7962182,,,n_545103936,"shop=convenience, amenity=fuel"
"Kaibito, AZ",,retail,445120,Shonto Marketplace,,,,36.4603249,-110.6923923,,,n_5654901089,shop=convenience
"Kaibito, AZ",,retail,445120,,"Kaibeto, AZ",,,36.5857561,-111.0922874,,,n_5779498958,shop=convenience
"Kaibito, AZ",,retail,445120,Tonalea General Store,"343 Navajo Trail, Tonalea, AZ, 86044",,,36.3183478,-110.946606,,,w_566433016,shop=convenience
"Kaibito, AZ",,retail,445120,Inscription House Trading Post,,,,36.6517698,-110.7609978,,,w_1384790276,shop=convenience
