Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Yakutat, AK",,retail,445120,Monti Bay Foods,,,,59.5500138,-139.7339998,,,n_2609766840,shop=convenience
"Yakutat, AK",,retail,445120,Mallot's General Store,,,,59.5507954,-139.738793,,,n_2609766913,shop=convenience
"Yakutat, AK",,retail,445110,Alaska Commercial,,,,59.5450224,-139.730077,,,w_255270185,shop=supermarket
"Yakutat, AK",,retail,445120,Fat Grandma's,,,https://sites.google.com/site/fatgrandmasyakutat/,59.5501896,-139.7338456,,,w_292523125,shop=convenience
