Location,Search Keyword,Segment,NAICS Code,Business Name,Address,Phone Number,Website,Latitude,Longitude,Rating,User Ratings,Place ID,Types
"Shonto, AZ",,retail,445120,Black Mesa Market,,,,36.5602875,-110.5024752,,,n_433944906,"shop=convenience, operator=Locally owned"
"Shonto, AZ",,retail,445110,Bashas',,,,36.7095788,-110.251143,,,n_434584010,"shop=supermarket, brand=Bashas', operator=Basha's"
"Shonto, AZ",,retail,445120,,,,,36.5813653,-110.7962182,,,n_545103936,"shop=convenience, amenity=fuel"
"Shonto, AZ",,retail,445120,Shonto Marketplace,,,,36.4603249,-110.6923923,,,n_5654901089,shop=convenience
"Shonto, AZ",,retail,445120,,"Kaibeto, AZ",,,36.5857561,-111.0922874,,,n_5779498958,shop=convenience
"Shonto, AZ",,retail,445120,Speedway,"Junction Highway 160 & 163, Kayenta, AZ, 86033",,https://www.speedway.com/locations/AZ/Kayenta/HWY-160-163,36.7084984,-110.2466876,,,n_9049627046,"shop=convenience, brand=Speedway"
"Shonto, AZ",,retail,445120,Food mart,,,,36.7068115,-110.2473394,,,w_130095744,shop=convenience
"Shonto, AZ",,retail,445120,Tonalea General Store,"343 Navajo Trail, Tonalea, AZ, 86044",,,36.3183478,-110.946606,,,w_566433016,shop=convenience
"Shonto, AZ",,retail,445120,Inscription House Trading Post,,,,36.6517698,-110.7609978,,,w_1384790276,shop=convenience
